TalentID,Class,Branch,Slot,SPReq,TalentReq,TierNum,Tier,Name,Note,MaxLevel,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,Co0,Co1,Co2,Co3,Co4,Co5,Co6,Co7,Co8,Co9,Co10,Co11,Co12,Co13,Co14,Co15,Co16,Co17,Co18,Co19,Co20,Co21,Co22,Co23,Co24,Co25,Co26,Co27,Co28,Co29,Co30,BonusTypeA,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,BonusTypeB,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,BonusTypeC,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,BonusTypeD,BonusAmountD
ClanQTE,Warlord,BranchYellow,4,20,HelperBoost,3,III,CoordinatedOffensive,SummonclanmemberClanShipQTE,25,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,ActiveAllHelperDamage,0,1.80E+00,2.59E+00,4.14E+00,6.62E+00,1.06E+01,1.88E+01,3.69E+01,7.25E+01,1.57E+02,3.76E+02,9.90E+02,2.86E+03,9.93E+03,3.77E+04,1.70E+05,9.14E+05,6.29E+06,5.53E+07,6.16E+08,8.66E+09,1.78E+11,5.33E+12,2.30E+14,1.65E+16,1.96E+18,-,-,-,-,-,ClanQTECooldown,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,24,26,28,30,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ClanShipSplashSkipMult,2
HelperInspiredWeaken,Warlord,BranchYellow,5,20,HelperDmgSkillBoost,3,III,SearingLight,InspiredheroesweakenTitansduringWarCry,25,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,InspiredHelperWeaken,0,0.0075,9.51E-03,1.35E-02,1.92E-02,2.72E-02,4.32E-02,7.63E-02,1.35E-01,2.65E-01,5.76E-01,1.39E+00,3.68E+00,1.19E+01,4.20E+01,1.79E+02,9.11E+02,6.03E+03,5.15E+04,5.63E+05,7.85E+06,1.63E+08,4.96E+09,2.21E+11,1.67E+13,2.11E+15,-,-,-,-,-,HelperBoostSkillDuration,0,1,2,4,7,9,12,16,21,26,33,41,51,63,77,95,115,142,173,211,255,310,376,454,550,664,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
ClanShipStun,Warlord,BranchYellow,6,20,ClanShipDmg,3,III,AnchoringShot,StunTitanforincreaseddamage,15,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ClanShipStunDamage,0,3.50E+00,1.00E+01,3.36E+01,1.53E+02,9.25E+02,8.34E+03,1.23E+05,3.18E+06,1.54E+08,1.61E+10,4.58E+12,4.28E+15,1.73E+19,4.34E+23,1.13E+29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ClanShipStunDuration,0,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.4,2.6,2.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
HelperDmgQTE,Warlord,BranchYellow,7,50,ClanQTE,4,IV,AstralAwakening,IncreasedHeroQTEdamageperbounce,15,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,HelperQTEDamage,0,1.21E+00,1.45E+00,1.80E+00,2.36E+00,3.25E+00,4.84E+00,7.90E+00,1.43E+01,2.92E+01,6.91E+01,1.98E+02,7.12E+02,3.42E+03,2.34E+04,2.56E+05,5.11E+06,2.29E+08,2.99E+10,-,-,-,-,-,-,-,-,-,-,-,-,ClanShipSplashSkipCount,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HelperQTECount,5
HelperBoostMultiCastSkill,Warlord,BranchYellow,8,50,HelperInspiredWeaken,4,IV,CommandSupremacy,StackableWayCry,15,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,HelperBoostSkillStacksBonus,0,1.27E+00,1.62E+00,2.14E+00,3.04E+00,4.63E+00,7.76E+00,1.46E+01,3.17E+01,8.01E+01,2.45E+02,9.60E+02,5.08E+03,3.89E+04,4.75E+05,1.06E+07,5.18E+08,7.24E+10,4.06E+13,-,-,-,-,-,-,-,-,-,-,-,-,HelperBoostSkillStacks,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
ClanShipVoltage,Warlord,BranchYellow,9,50,ClanShipStun,4,IV,VoltaicSails,StunSpellUnlockSkill,15,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,ThunderVolleySkillAmount,0,1.87E+00,2.86E+00,4.64E+00,8.55E+00,1.79E+01,4.55E+01,1.52E+02,7.20E+02,5.30E+03,7.21E+04,2.39E+06,2.66E+08,1.55E+11,8.68E+14,1.13E+20,1.85E+21,1.85E+21,1.85E+21,-,-,-,-,-,-,-,-,-,-,-,-,ThunderVolleySkillSpecialDamage,0,1.28E+00,1.59E+00,2.02E+00,2.73E+00,3.92E+00,6.08E+00,1.04E+01,2.00E+01,4.34E+01,1.10E+02,3.41E+02,1.34E+03,7.04E+03,5.34E+04,6.46E+05,7.37E+06,4.76E+12,4.76E+12,-,-,-,-,-,-,-,-,-,-,-,-,ThunderVolleySkillDuration,0,2,9,18,28,42,66,94,137,190,278,384,510,681,876,1200,1328,1328,1328,0,0,0,0,0,0,0,0,0,0,0,0,None,0
CloneDmg,Sorcerer,BranchBlue,0,0,None,1,I,PhantomVengeance,Increasedclonedmg+attackrate,30,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,66,76,87,100,115,ShadowCloneSkillAmount,0,1.50E+00,2.06E+00,2.84E+00,4.34E+00,6.64E+00,1.02E+01,1.72E+01,3.24E+01,6.09E+01,1.26E+02,2.89E+02,7.27E+02,2.01E+03,6.67E+03,2.42E+04,1.05E+05,5.37E+05,3.54E+06,2.97E+07,3.17E+08,4.26E+09,8.39E+10,2.40E+12,9.91E+13,6.81E+15,7.73E+17,1.67E+20,7.36E+22,7.09E+25,1.73E+29,ShadowCloneSkillAttackRate,0,0.1,0.21,0.33,0.46,0.59,0.74,0.89,1.05,1.22,1.41,1.6,1.81,2.03,2.26,2.51,2.77,3.05,3.35,3.66,4,4.36,4.74,5.14,5.57,6.02,6.51,7.02,7.56,8.14,8.76,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
MPCapacityBoost,Sorcerer,BranchBlue,1,3,CloneDmg,2,II,LimitBreak,Increasedmanacapacityandregen,25,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,ManaPoolCap,0,5,8,12,19,26,35,46,62,80,103,132,168,213,269,337,421,524,652,809,1000,1234,1520,1870,2295,2815,-,-,-,-,-,ManaRegen,0,0.1,0.228,0.373,0.538,0.727,0.941,1.185,1.463,1.779,2.139,2.549,3.015,3.546,4.151,4.839,5.622,6.514,7.529,8.684,10,11.497,13.201,15.141,17.35,19.864,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
CloneSkillBoost,Sorcerer,BranchBlue,2,3,CloneDmg,2,II,EternalDarkness,Increasedcloneduration+splashskip,25,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,-,-,-,-,-,1,1,2,2,3,3,4,4,5,5,6,7,8,9,11,12,14,17,19,21,25,29,32,38,43,-,-,-,-,-,-,ShadowCloneSkillDuration,0,2,5,9,13,18,24,33,41,53,66,83,102,127,155,190,231,283,347,422,510,620,752,908,1100,1328,-,-,-,-,-,ShadowCloneSplashSkipCount,0,0,1,2,3,4,6,8,10,12,14,16,18,20,23,26,29,33,38,44,51,59,68,78,89,101,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ShadowCloneBossSplash,0.05
ManaStealSkillBoost,Sorcerer,BranchBlue,3,3,CloneDmg,2,II,ManaSiphon,Chancetogainadditionalmanapertap,25,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,ManaTapRegen,0,0.0005,0.0007,0.001,0.0013,0.0016,0.002,0.0025,0.0031,0.0038,0.0047,0.0056,0.0068,0.0081,0.0097,0.0115,0.0137,0.0162,0.0192,0.0226,0.0265,0.0312,0.0366,0.0428,0.0501,0.0584,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManaStealChance,0.005
ManaMonster,Sorcerer,BranchBlue,4,20,MPCapacityBoost,3,III,ManniMana,Chanceformanamonstertospawn(givesmana),15,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ManaMonsterAmount,0,2,4,6.5,10,14.5,20.5,28.5,39,52.5,70,93,123,162,212.5,278,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ManaMonsterSpawnChance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
BossTimer,Sorcerer,BranchBlue,5,20,CloneSkillBoost,3,III,DimensionalShift,Increaseactiveskilleffectsandduration,15,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneAllSkillBoost,0,1.31E+00,1.70E+00,2.31E+00,3.40E+00,5.40E+00,9.54E+00,1.92E+01,4.49E+01,1.25E+02,4.26E+02,1.92E+03,1.20E+04,1.13E+05,1.77E+06,5.39E+07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneAllSkillDurationRate,0,0.96,0.92,0.88,0.84,0.8,0.76,0.72,0.68,0.64,0.6,0.55,0.5,0.45,0.4,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
CritSkillBoost,Sorcerer,BranchBlue,6,20,ManaStealSkillBoost,3,III,LightningStrike,Chancetodealdamageequaltopercentofmonsterhp,15,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LightningStrikeDamage,0,0.1,0.1532,0.2072,0.2671,0.3288,0.3942,0.4627,0.5323,0.6003,0.6659,0.7288,0.7867,0.8379,0.8809,0.9307,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,LightningStrikeEfficiency,0,0.938,0.941,0.944,0.947,0.95,0.953,0.956,0.959,0.962,0.965,0.968,0.971,0.974,0.977,0.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LightningStrikeChance,0.02
ForbiddenContract,Sorcerer,BranchBlue,7,50,ManaMonster,4,IV,ForbiddenContract,ActivateQTEtodrainmanaformoredamage.,15,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,ForbiddenContractMaxDamage,0,3.16E+02,9.63E+02,3.64E+03,1.78E+04,1.18E+05,1.13E+06,1.68E+07,4.21E+08,1.96E+10,1.92E+12,4.58E+14,3.15E+17,7.65E+20,8.41E+24,5.59E+29,5.28E+33,8.65E+41,2.76E+52,-,-,-,-,-,-,-,-,-,-,-,-,ForbiddenContractTimeUntilMaxDamage,0,60,57.8,55.7,53.5,51.4,49.3,47.1,45,42.8,40.7,38.6,36.4,34.3,32.1,30,30,30,30,-,-,-,-,-,-,-,-,-,-,-,-,ForbiddenContractManaCostBase,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,None,0
ShadowCloneMultiCastSkill,Sorcerer,BranchBlue,8,50,BossTimer,4,IV,PhantomControl,StackableShadowClone,15,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneSkillStacksBonus,0,1.27E+00,1.62E+00,2.14E+00,3.04E+00,4.63E+00,7.76E+00,1.46E+01,3.17E+01,8.01E+01,2.45E+02,9.60E+02,5.08E+03,3.89E+04,4.75E+05,1.06E+07,5.18E+08,7.24E+10,4.06E+13,-,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneSkillStacks,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
PuppetMaster,Sorcerer,BranchBlue,9,50,CritSkillBoost,4,IV,PuppetMaster,DamagebasedonShadowCloneSpecialAttempts+SpecialAttempts,15,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneSkillSpecialDamage,0,1.70E+00,2.89E+00,5.42E+00,1.24E+01,3.43E+01,1.24E+02,6.39E+02,4.95E+03,6.16E+04,1.41E+06,7.25E+07,1.02E+10,5.18E+12,1.36E+16,3.12E+20,1.28E+26,2.59E+33,9.81E+42,-,-,-,-,-,-,-,-,-,-,-,-,ShadowCloneSkillSpecialRate,0,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ShadowCloneSkillSpecialChance,0.0013
UltraDagger,Rogue,BranchGreen,0,0,None,1,I,SummonDagger,DaggerQTEtodealdamage,30,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,66,76,87,100,115,UltraDaggerDamage,0,1.60E+00,2.41E+00,3.63E+00,6.09E+00,1.02E+01,1.72E+01,3.21E+01,6.66E+01,1.38E+02,3.17E+02,8.05E+02,2.26E+03,6.95E+03,2.59E+04,1.06E+05,5.16E+05,3.00E+06,2.25E+07,2.17E+08,2.66E+09,4.12E+10,9.36E+11,3.09E+13,1.46E+15,1.14E+17,1.46E+19,3.46E+21,1.62E+24,1.60E+27,3.78E+30,UltraDaggerSplashCount,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
StrokeOfLuck,Rogue,BranchGreen,1,3,UltraDagger,2,II,StrokeOfLuck,CompanionsbenefitfromDS,25,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,DeadlyDamageCompanion,0,1.00E+00,1.27E+00,1.69E+00,2.26E+00,3.02E+00,4.25E+00,6.30E+00,9.33E+00,1.45E+01,2.37E+01,4.05E+01,7.26E+01,1.42E+02,2.91E+02,6.46E+02,1.55E+03,4.19E+03,1.26E+04,4.20E+04,1.54E+05,6.60E+05,3.26E+06,1.83E+07,1.23E+08,9.60E+08,-,-,-,-,-,GuidedBladeDeadlyStrikeBoost,0,1.25E+00,1.60E+00,2.18E+00,2.97E+00,4.31E+00,6.25E+00,9.06E+00,1.40E+01,2.29E+01,3.74E+01,6.50E+01,1.20E+02,2.34E+02,4.83E+02,1.12E+03,2.74E+03,7.50E+03,2.29E+04,8.25E+04,3.50E+05,1.74E+06,1.02E+07,7.78E+07,7.78E+08,1.02E+10,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GuidedBladeApplyChance,0.01
PoisonedBlade,Rogue,BranchGreen,2,3,UltraDagger,2,II,PoisonEdge,DaggerscauseTitanstotakemoredamage.,25,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,UltraDaggerPoisonBoost,0,1.50E+00,2.00E+00,2.68E+00,4.11E+00,6.30E+00,9.66E+00,1.69E+01,3.38E+01,6.76E+01,1.53E+02,3.93E+02,1.14E+03,3.71E+03,1.52E+04,6.98E+04,3.98E+05,2.80E+06,2.67E+07,3.43E+08,5.87E+09,1.32E+11,4.69E+12,2.57E+14,2.15E+16,3.23E+18,-,-,-,-,-,UltraDaggerCount,0,1,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UltraDaggerPoisonMaxCount,10
OfflineGold,Rogue,BranchGreen,3,3,UltraDagger,2,II,MasterThief,AllGold/Inactivegoldbonus,25,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,-,-,-,-,-,1,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,-,-,-,-,-,-,UnskilledGold,0,1.23E+00,1.44E+00,1.67E+00,2.08E+00,2.60E+00,3.25E+00,4.36E+00,6.24E+00,8.94E+00,1.37E+01,2.23E+01,3.88E+01,7.18E+01,1.50E+02,3.30E+02,8.16E+02,2.25E+03,7.28E+03,2.75E+04,1.20E+05,6.07E+05,3.88E+06,3.11E+07,3.11E+08,4.22E+09,-,-,-,-,-,UltraDaggerSplashSkipCount,0,2.00E+00,4.00E+00,6.00E+00,8.00E+00,1.00E+01,1.20E+01,1.40E+01,1.60E+01,1.80E+01,2.00E+01,2.20E+01,2.40E+01,2.60E+01,2.80E+01,3.00E+01,3.20E+01,3.40E+01,3.60E+01,3.80E+01,4.00E+01,4.20E+01,4.40E+01,4.60E+01,4.80E+01,5.00E+01,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
CritSkillBoostDmg,Rogue,BranchGreen,4,20,StrokeOfLuck,3,III,Assassinate,DeadlyStrikedamageboost,25,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,CritBoostSkillAmount,0,1.60E+00,2.52E+00,4.50E+00,8.06E+00,1.44E+01,2.93E+01,6.71E+01,1.54E+02,3.97E+02,1.15E+03,3.74E+03,1.36E+04,6.12E+04,3.07E+05,1.89E+06,1.42E+07,1.42E+08,1.89E+09,3.29E+10,7.48E+11,2.62E+13,1.39E+15,1.11E+17,1.56E+19,3.79E+21,-,-,-,-,-,CritBoostSkillDuration,0,2,5,9,13,18,24,33,41,53,66,83,102,127,155,190,231,283,347,422,510,620,752,908,1100,1328,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
CriticalHit,Rogue,BranchGreen,5,20,PoisonedBlade,3,III,WeakpointThrow,IncreasedBladeStreamamountandduration,25,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,StreamOfBladesSkillAmount,0,1.36E+00,2.04E+00,3.40E+00,5.68E+00,9.48E+00,1.76E+01,3.60E+01,7.38E+01,1.67E+02,4.17E+02,1.14E+03,3.45E+03,1.25E+04,4.95E+04,2.34E+05,1.31E+06,9.39E+06,8.61E+07,1.00E+09,1.47E+10,3.15E+11,9.84E+12,4.43E+14,3.32E+16,4.12E+18,-,-,-,-,-,StreamOfBladesDuration,0,2,5,9,13,18,24,33,41,53,66,83,102,127,155,190,231,283,347,422,510,620,752,908,1100,1328,-,-,-,-,-,UltraDaggerTargetDuration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,0,0,0,0,None,0
MultiMonsters,Rogue,BranchGreen,6,20,OfflineGold,3,III,Ambush,Increasedmultispawnchance,25,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,-,-,-,-,-,2,2,3,3,3,4,5,5,6,7,8,9,11,12,14,16,19,22,25,28,33,38,43,50,57,-,-,-,-,-,-,MultiMonstersGold,0,2.00E+00,3.47E+00,6.03E+00,1.20E+01,2.39E+01,4.77E+01,1.09E+02,2.81E+02,7.29E+02,2.14E+03,7.12E+03,2.67E+04,1.12E+05,5.93E+05,3.50E+06,2.56E+07,2.30E+08,2.79E+09,4.53E+10,9.69E+11,2.72E+13,1.18E+15,7.81E+16,7.79E+18,1.36E+21,-,-,-,-,-,MultiMonstersMaxCount,0,1,2,4,6,8,10,12,14,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
GuidedBlade,Rogue,BranchGreen,7,50,CritSkillBoostDmg,4,IV,DeadlyFocus,StackableDeadlyStrike,15,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,CritBoostSkillStacksBonus,0,1.27E+00,1.62E+00,2.14E+00,3.04E+00,4.63E+00,7.76E+00,1.46E+01,3.17E+01,8.01E+01,2.45E+02,9.60E+02,5.08E+03,3.89E+04,4.75E+05,1.06E+07,5.18E+08,7.24E+10,4.06E+13,-,-,-,-,-,-,-,-,-,-,-,-,CritBoostSkillStacks,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
SoulBlade,Rogue,BranchGreen,8,50,CriticalHit,4,IV,DaggerStorm,StackableBladeStream,15,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,-,-,-,-,-,-,-,-,-,-,-,-,3,4,5,7,9,12,16,21,27,35,46,60,78,101,131,170,221,287,-,-,-,-,-,-,-,-,-,-,-,-,-,UltraDaggerTargetDamage,0,1.70E+00,3.04E+00,5.88E+00,1.23E+01,2.98E+01,8.33E+01,2.87E+02,1.30E+03,8.08E+03,7.36E+04,1.09E+06,3.17E+07,2.12E+09,4.22E+11,3.43E+14,5.50E+15,5.50E+15,5.50E+15,-,,,,,,,,,,,,UltraDaggerCooldown,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15,15,15,-,-,-,-,-,-,-,-,-,-,-,-,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0
